"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"armor_class/titan10";"Titanium Alloy 10 mm";"Alliage de titane 10 mm";"Lega di Titanio da 10mm";"Titanlegierung (10 mm)";"Aleación de Titanio 10 mm";"Титановый сплав 10 мм";"Stop tytanu 10 mm";"10 mm slitina titanu";"Titanyum Alaşım 10 mm";"10 毫\t米\t钛\t合\t金";"チタン\t合金\t10mm";"Liga de Titânio 10 mm";"Титановий метал 10 мм";"Titanium Alloy 10 mm";"10 mm-es titán ötvözet";"10 mm 티타늄 합금";"Тытанавы сплаў 10 мм";"Titanium Alloy 10 mm";"10 毫\t米\t鈦\t合\t金";"Titanium Alloy 10 mm";"Hợp kim Titan 10 mm";;
"armor_class/titan11";"Titanium Alloy 11 mm";"Alliage de titane 11 mm";"Lega di Titanio da 11mm";"Titanlegierung (11 mm)";"Aleación de Titanio 11 mm";"Титановый сплав 11 мм";"Stop tytanu 11 mm";"11 mm slitina titanu";"Titanyum Alaşım 11 mm";"11 毫\t米\t钛\t合\t金";"チタン\t合金 11mm";"Liga de Titânio 11 mm";"Титановий сплав 11 мм";"Titanium Alloy 11 mm";"Titanium Alloy 11 mm";"11 mm 티타늄 합금";"Титановый сплав 11 мм";"Titanium Alloy 11 mm";"11 毫\t米\t鈦\t合\t金";"Titanium Alloy 11 mm";"Hợp kim Titan 11 mm";;
"armor_class/titan17";"Titanium Alloy 17 mm";"Alliage de titane 17 mm";"Lega di Titanio da 17mm";"Titanlegierung (17 mm)";"Aleación de Titanio 17 mm";"Титановый сплав 17 мм";"Stop tytanu 17 mm";"17 mm slitina titanu";"Titanyum Alaşım 17 mm";"17 毫\t米\t钛\t合\t金";"チタン\t合金\t17mm";"Liga de Titânio 17 mm";"Титановий сплав 17 мм";"Titanium Alloy 17 mm";"17 mm-es titán ötvözet";"17 mm 티타늄 합금";"Тытанавы сплаў 17 мм";"Titanium Alloy 17 mm";"17 毫\t米\t鈦\t合\t金";"Titanium Alloy 17 mm";"Hợp kim Titan 17 mm";;
"armor_class/titan24";"Titanium Alloy 24 mm";"Alliage de titane 24 mm";"Lega di Titanio da 24mm";"Titanlegierung (24 mm)";"Aleación de Titanio 24 mm";"Титановый сплав 24 мм";"Stop tytanu 24 mm";"24 mm slitina titanu";"Titanyum Alaşım 24 mm";"24 毫\t米\t钛\t合\t金";"チタン\t合金\t24mm";"Liga de Titânio 24 mm";"Титановий сплав 24 мм";"Titanium Alloy 24 mm";"24 mm-es titán ötvözet";"24 mm 티타늄 합금";"Тытанавы сплаў 24 мм";"Titanium Alloy 24 mm";"24 毫\t米\t鈦\t合\t金";"Titanium Alloy 24 mm";"Hợp kim Titan 24 mm";;
"armor_class/titan38";"Titanium Alloy";"Alliage de titane ";"Lega di Titanio";"Titanlegierung";"Aleación de Titanio";"Титановый сплав";"Stop tytanu";"Slitina titanu";"Titanyum Alaşım";"钛\t合\t金";"チタン\t合金";"Liga de titânio";"Титановий сплав";"Titanium Alloy";"Titán ötvözet";"티타늄 합금";"Тытанавы сплаў";"Titanium Alloy";"鈦\t合\t金";"Titanium Alloy";"Hợp kim Titan";;
"armor_class/kevlar5";"Kevlar";"Kevlar";"Kevlar";"Kevlar";"Kevlar";"Кевлар";"Kevlar";"kevlar";"Kevlar";"凯\t芙\t拉\t纤\t维";"ケブラー";"Kevlar";"Кевлар";"Kevlar";"Kevlár";"케블라";"Кеўлар";"Kevlar";"克\t維\t拉\t纖\t維";"凯\t芙\t拉\t合\t成\t纤\t维";"Kevlar";;
"armor_class/tt";"Torpedo tube";"Tube lance-torpilles";"Tubo Lanciasiluri";"Torpedorohr";"Tubo de torpedo";"Торпедный аппарат";"Wyrzutnia torpedowa";"torpédomet";"Torpido yuvası";"鱼\t雷\t发\t射\t管";"魚雷発射管";"Tubo de torpedo";"Торпедний апарат";"Torpedo cev";"Torpedóvető cső";"어뢰 발사관";"Тарпедны апарат";"Tub lansare torpile";"魚\t雷\t發\t射\t管";"鱼\t雷\t发\t射\t管";"Ống phóng ngư lôi";;
"actionBarItem/jump";"Jump";"Sauter";"Salta";"Springen";"Saltar";"Прыжок";"Skok";"Skok";"Zıpla";"跳\t跃";"ジャンプ";"Saltar";"Стрибок";"Jump";"Ugrás";"점프";"Скачок";"Jump";"跳\t躍";"Jump";"Nhảy";;
"actionBarItem/sprint";"Move mode: Run/walk";"Mode de mouvement: Course/marche";"Modalità movimento: Corsa/Camminata";"Bewegungsmodus: Sprinten/Gehen";"Modo de movimiento: Correr/caminar";"Режим передвижения: Бег/ходьба";"Tryb ruchu: bieg/chód";"Režim pohybu: běh/chůze";"Hareket modu: Koş/yürü";"移\t动\t方\t式：\t疾\t跑\t/\t行\t走";"移動\tモード：\t走る/歩く";"Modo de movimento: Correr/Andar";"Режим пересування: Біг/ходьба";"Move mode: Run/walk";"Mozgás módja: Futás/séta";"이동 모드: 질주/걷기";"Рэжым перамяшчэння: Бег/хадзьба";"Move mode: Run/walk";"移\t動\t方\t式：\t奔\t跑\t/\t行\t走";"Move mode: Run/walk";"Chế độ di chuyển: Chạy/đi bộ";;
"actionBarItem/toggle_view";"Sniper mode";"Mode sniper";"Modalità Cecchino";"Schützenansicht";"Modo de francotirador";"Снайперский режим";"Tryb snajperski";"Pohled přes zaměřovač";"Nişancı modu";"瞄\t准\t镜\t视\t角";"スナイパーモード";"Modo de franco-atirador";"Снайперський режим";"Sniper mode";"Irányzéknézet";"포수 조준경 시점";"Снайперскі рэжым";"Sniper mode";"瞄\t準\t鏡\t視\t角";"Sniper mode";"Chế độ nhắm bắn";;
"actionBarItem/artillery_target";"Artillery strike";"Frappe d'artillerie";"Fuoco d'artiglieria";"Artillerieschlag";"Ataque de la artillería";"Артиллерийский удар";"Ostrzał artyleryjski";"Palebná podpora";"Topçu Saldırısı";"呼\t叫\t火\t炮\t支\t援";"砲撃照準\tモード";"Salva de artilharia";"Артилерійський удар";"Artiljerijski napad";"Tüzérségi csapás";"지원 포격";"Артылерыйскі ўдар";"Salvă artilerie";"火\t炮\t支\t援";"呼\t叫\t火\t炮\t支\t援";"Pháo kích";;
"actionBarItem/engine_smoke_screen_system";"ESS";"ESS";"GDF";"Nebelgenerator";"ESS";"ТДА";"ESS";"Motorový kouř";"ESS";"引\t擎\t烟\t雾\t系\t统";"エンジン\t発煙\tシステム";"SGF";"Термодимова апаратура";"ESS";"Motorfüst-generáló rendszer";"ESS";"ТДА";"SGFM";"引\t擎\t煙\t霧\t系\t統";"引\t擎\t烟\t雾\t系\t统";"Bộ tạo khói động cơ";;
"actionBarItem/extinguisher";"Fire extinguisher";"Extincteur";"Estintore";"Feuerlöscher";"Extintor de incendios";"Огнетушитель";"Gaśnica";"Hasicí přístroj";"Yangın Söndürücü";"使\t用\t灭\t火\t器";"消火器";"Extintor";"Вогнегасник";"Protivpožarni aparat";"Tűzoltó berendezés";"소화기";"Вогнетушыцель";"Extinctor";"滅\t火\t器";"使\t用\t灭\t火\t器";"Bình chữa cháy";;
"actionBarItem/repair_breaches";"Unwatering";"Délestage";"Pompe di sentina";"Lenzen";"Reparar brechas";"Борьба с затоплениями";"Odpompowanie";"Vyčerpání vody";"Su boşaltma";"抽\t水";"排水する";"Removendo Água";"Боротьба з затопленнями";"Unwatering";"Vízkiszivattyúzás";"배수";"Барацьба з затапленнямі";"Reparare spărturi";"抽\t水";"抽\t水";"Tháo nước";;
"actionBarItem/special_unit_bomber";"Bomber flyout";"Sorties en bombardier";"Sortita col Bombardiere";"Flug: Bomber";"Vuelo de bombardero";"Вылет на бомбардировщике";"Wylot na bombowcu";"Vzlet bombardéru";"Bombardıman uçuşu";"出\t击\t轰\t炸\t机";"爆撃機で\t出撃";"Sortida de bombardeiro";"Виліт на бомбардувальнику";"Prelet bombardera";"Berepülés bombázóval";"폭격기로 출격";"Вылет на бамбардзіроўшчыку";"Zbor cu bombardiere";"轟\t炸\t機\t出\t擊";"出\t击\t轰\t炸\t机";"Gọi máy bay ném bom";;
"actionBarItem/special_unit_bomber_nuclear";"Bomber with nuclear weapon flyout";"Décoller avec le bombardier chargé de la bombe nucléaire";"Sortita con un Bombardiere Nucleare";"Bomber mit Kernwaffe ausfliegen";"Vuelo con bombardero de arma nuclear";"Вылет на бомбардировщике с ядерным оружием";"Wylot na bombowcu z bronią jądrową";"Let s bombardérem s jadernou výzbrojí";"Nükleer silah yüklü bombacı";"出\t击\t轰\t炸\t机\t（核\t武\t器\t挂\t载）";"特殊な\t爆弾搭載の\t爆撃機で\t出撃";"Sortida com bombardeiro com arma nuclear";"Виліт на бомбардувальнику з ядерною зброєю";"Bomber with nuclear weapon flyout";"Berepülés nukleáris fegyverrel rendelkező bombázóval";"핵무장을 장착한 폭격기";"Вылет на бамбавіку з ядзернай зброяй";"Bomber with nuclear weapon flyout";"出\t擊\t轟\t炸\t機\t（核\t武\t器\t掛\t載）";"载\t核\t轰\t炸\t机";"Gọi máy bay ném bom hạt nhân";;
"actionBarItem/special_unit_attacker";"Attacker flyout";"Sorties en avion d'assaut";"Sortita con l'Assaltatore";"Flug: Schlachtflugzeug";"Vuelo de avión de ataque";"Вылет на штурмовике";"Wylot na szturmowcu";"Vzlet bitevníku";"Taarruz Uçağı uçuşu";"出\t击\t攻\t击\t机";"攻撃機で\t出撃";"Sortida de avião de ataque";"Виліт на штурмовику";"Prelet jurišnog bombardera";"Berepülés csatarepülővel";"공격기로 출격";"Вылет на штурмавіку";"Zbor cu avioane de atac";"出\t擊\t攻\t擊\t機";"出\t击\t攻\t击\t机";"Gọi máy bay tấn công";;
"actionBarItem/special_unit_fighter";"Fighter flyout";"Sorties en chasseur";"Sortita col Caccia";"Flug: Jäger";"Vuelo de caza";"Вылет на истребителе";"Wylot na myśliwcu";"Vzlet stíhače";"Avcı uçuşu";"出\t击\t战\t斗\t机";"戦闘機で\t出撃";"Sortida de caça";"Виліт на винищувачі";"Prelet lovca";"Berepülés vadászrepülővel";"전투기로 출격";"Вылет на знішчальніку";"Zbor cu avioane de vânătoare";"出\t擊\t戰\t鬥\t機";"出\t击\t战\t斗\t机";"Gọi máy bay tiêm kích";;
"actionBarItem/special_unit_helicopter_atgm";"Helicopter with missiles flyout";"Vols en hélicoptère équipé de missiles";"Elicottero con missili";"Hubschrauber mit Flugkörper";"Vuelo de helicóptero con misiles";"Вылет на вертолёте с управляемыми ракетами";"Śmigłowiec z pociskami";"Let s vrtulníkem s řízenou raketovou výzbrojí";"Füze yüklü helikopter";"出\t击\t直\t升\t机\t（导\t弹\t挂\t载）";"ミサイルを\t装備した\tヘリコプターで\t出撃";"Helicóptero com mísseis flyout";"Виліт на гелікоптері з керованими ракетами";"Helicopter with missiles flyout";"Berepülés irányított rakétákkal szerelt helikopterrel";"미사일을 장착한 헬리콥터";"Вылет на гелікоптэре з кіруемымі ракетамі";"Zbor cu elicopter cu rachete ghidate";"出\t擊\t直\t升\t機\t（導\t彈\t掛\t載）";"直\t升\t机\t携\t带\t导\t弹\t出\t击";"Gọi trực thăng với tên lửa";;
"actionBarItem/special_unit_helicopter_rocket";"Helicopter with rockets flyout";"Vols en hélicoptère équipé de missiles";"Elicottero con razzi";"Hubschrauber mit Raketen";"Vuelo de helicóptero con cohetes";"Вылет на вертолёте с неуправляемыми ракетами";"Śmigłowiec z rakietami";"Let s vrtulníkem s neřízenou raketovou výzbrojí";"Roket yüklü helikopter";"出\t击\t直\t升\t机\t（火\t箭\t弹\t挂\t载）";"ロケットを\t装備した\tヘリコプターで\t出撃";"Helicóptero com rockets flyout";"Виліт на гелікоптері з некерованими ракетами";"Helicopter with rockets flyout";"Berepülés rakétákkal szerelt helikopterrel";"로켓을 장착한 헬리콥터";"Вылет на верталёце з некіруемымі ракетамі";"Zbor cu elicopter cu rachete neghidate";"出\t擊\t直\t升\t機\t（火\t箭\t彈\t掛\t載）";"直\t升\t机\t携\t带\t火\t箭\t弹\t出\t击";"Gọi trực thăng với rocket";;
"actionBarItem/special_unit_helicopter_mguns";"Helicopter with machine guns or cannons flyout";"Vols en hélicoptère équipé de mitrailleuses ou de canons";"Elicottero con mitragliatrici o cannoni";"Hubschrauber mit Maschinengwehre oder Kanonen";"Vuelo de helicóptero con ametralladores o cañones";"Вылет на вертолёте с пулемётным или пушечным вооружением";"Śmigłowiec z karabinami maszynowymi, lub działkami";"Let vrtulníkem s kulomety nebo kanóny";"Makineli tüfek ya da top yüklü helikopter";"出\t击\t直\t升\t机\t（机\t枪\t／\t机\t炮\t挂\t载）";"機関銃または\t機関砲を\t装備した\tヘリコプターで\t出撃";"Helicóptero com metralhadoras ou canhões flyout";"Виліт на гелікоптері з кулеметним або гарматним озброєнням";"Helicopter with machine guns or cannons flyout";"Berepülés géppuskákkal/gépágyúkkal szerelt helikopterrel";"기관포 혹은 기관총을 장착한 헬리콥터";"Вылет на верталёце з кулямётным або гарматным узбраеннем";"Zbor cu elicopter cu mitraliere și tunuri";"出\t擊\t直\t升\t機\t（機\t槍\t／\t機\t砲\t掛\t載）";"直\t升\t机\t携\t带\t机\t枪\t或\t机\t炮\t出\t击";"Gọi trực thăng với súng máy hay pháo";;
"actionBarItem/winch";"Winch";"Câble de remorquage";"Verricello";"Kabelwinde";"Cable de remolque";"Лебёдка";"Wyciągarka";"Naviják";"Halat";"牵\t引\t索";"ウインチ";"Guincho";"Лебідка";"Čekrk";"Vontatókötél";"권양기";"Лябёдка";"Cablu remorcare";"牽\t引\t索";"牵\t引\t索";"Móc";;
"actionBarItem/winch_detach";"Detach winch";"Détacher le câble de remorquage";"Sgancia il verricello";"Kabel lösen";"Soltar cable de remolque";"Отсоединить лебёдку";"Odczep wyciągarkę";"Odpojit naviják";"Halatı çıkart";"取\t下\t牵\t引\t索";"ウインチを\t取り\t外す";"Largar guincho";"Від'єднати лебідку";"Odkači čekrk";"Vontatókötél lecsatlakoztatása";"권양기 분리";"Адчапіць лябёдку";"Detașare cablu de remorcare";"取\t下\t牽\t引\t索";"取\t下\t牵\t引\t索";"Tháo móc";;
"actionBarItem/winch_attach";"Attach winch";"Attacher le câble de remorquage";"Aggancia il verricello";"Kabel befestigen";"Fijar cable de remolque";"Присоединить лебёдку";"Zaczep wyciągarkę";"Připojit naviják";"Halatı tak";"固\t定\t牵\t引\t索";"ウインチを\t取り\t付ける";"Meter guincho";"Приєднати лебідку";"Zakači čekrk";"Vontatókötél csatlakoztatása";"권양기 연결";"Прычапіць лябёдку";"Atașare cablu de remorcare";"固\t定\t牽\t引\t索";"固\t定\t牵\t引\t索";"Gắn móc";;
"actionBarItem/toolkit";"Toolkit";"Boîte à outils";"Cassetta attrezzi";"Werkzeugkasten";"Kit de herramientas";"Ремкомплект";"Narzędzia";"Nářadí";"Araç seti";"修\t理\t箱";"工具\tセット";"Kit de Ferramentas";"Ремкомплект";"Alat";"Szerszámkészlet";"공구함";"Рамонтны набор";"Trusă de unelte";"工\t具\t包";"修\t理\t箱";"Bộ sửa chữa";;
"actionBarItem/medicalkit";"Crew Replenishment";"Équipage en renfort";"Rimpiazzo Equipaggio";"Verstärkung";"Reposición de la tripulación";"Пополнение экипажа";"Uzupełnienie załogi";"Doplnění osádky";"Mürettebat iyileştirme";"补\t充\t乘\t员";"救急\tセット";"Recuperação da Tripulação";"Поповнення екіпажу";"Dopuna posade";"Legénységpótlás";"승무원 보충";"Папаўненне экіпажу";"Completare echipaj";"補\t充\t乘\t員\t組";"补\t充\t乘\t员";"Bổ sung kíp lái";;
"actionBarItem/depth_charge";"Depth Charges";"Grenades anti-sous-marines";"Cariche di profondità";"Wasserbomben";"Cargas de profundidad";"Глубинные бомбы";"Bomby głębinowe";"Hlubinné nálože";"Sualtı Bombaları";"深\t水\t炸\t弹";"爆雷";"Cargas de Profundidade";"Глибинні бомби";"Depth Charges";"Mélységi bombák";"폭뢰";"Глыбінныя бомбы";"Explozivi subacvatici";"深\t水\t炸\t彈";"深\t水\t炸\t弹";"Bom chìm";;
"actionBarItem/mortar";"Mortar";"Mortier";"Mortaio";"Mörser";"Mortero";"Миномёт";"Moździerz";"Minomet";"Havan topu";"深\t水\t炸\t弹\t投\t射\t装\t置";"追撃砲";"Morteiro";"Міномет";"Minobacač";"Aknavető";"박격포";"Мінамёт";"Obuzier";"深\t水\t炸\t彈\t投\t射\t裝\t置";"迫\t击\t炮";"Pháo cối";;
"actionBarItem/rocket";"Rockets";"Roquettes";"Razzi";"Raketen";"Cohetes";"Ракеты";"Rakiety";"Rakety";"Roketler";"发\t射\t火\t箭\t弹";"ロケット";"Rockets";"Ракети";"Rockets";"Rakéták";"로켓";"Ракеты";"Rachete";"火\t箭\t彈";"发\t射\t火\t箭\t弹";"Tên lửa";;
"actionBarItem/torpedo";"Torpedoes";"Torpilles";"Siluri";"Torpedos";"Torpedos";"Торпеды";"Torpedy";"Torpéda";"Torpidolar";"发\t射\t鱼\t雷";"魚雷";"Torpedos";"Торпеди";"Torpedoes";"Torpedók";"어뢰";"Тарпеды";"Torpile";"魚\t雷";"发\t射\t鱼\t雷";"Ngư lôi";;
"actionBarItem/smoke_screen";"Smoke screen";"Écran de fumée";"Cortina fumogena";"Nebeltöpfe";"Cortina de humo";"Дымовая завеса";"Zasłona dymna";"Kouřová clona";"Sis perdesi";"释\t放\t烟\t雾";"煙幕";"Cortina de fumaça/fumo";"Димова завіса";"Dimna zavesa";"Füstfüggöny";"연막차장";"Дымавая заслона";"Perdea de fum";"煙\t霧";"释\t放\t烟\t雾";"Màn khói";;
"actionBarItem/acoustic_countermeasure";"Acoustic сountermeasures";"Contremesures acoustiques";"Contromisure Acustiche";"Akustischer Täuschkörper";"Contramedidas acústicas";"Акустические помехи";"Akustyczne środki przeciwdziałania";"Akustická protiopatření";"Akustik karşı tedbirler";"声\t学\t对\t抗\t措\t施";"音響防衛手段";"Medidas acústicas";"Акустичні перешкоди";"Acoustic сountermeasures";"Akusztikus zavaró berendezések";"어뢰기만기";"Акустычныя перашкоды";"Contramăsuri acustice";"聲\t學\t對\t抗\t措\t施";"声\t学\t对\t抗\t措\t施";"Mồi Âm thanh";;
"actionBarItem/scout_active";"Active scouting";"Repérage actif";"Esplorazione attiva";"Aktive Aufklärung";"Reconocimiento Activo";"Активная разведка";"Rozpoznanie";"Aktivní odhalování nepřátel";"Aktif gözcülük";"侦\t察\t目\t标";"偵察活動";"Observação ativa";"Активна розвідка";"Active scouting";"Felderítés";"정찰";"Актыўная выведка";"Reperare activă";"偵\t察\t目\t標";"侦\t察\t目\t标";"Trinh sát chủ động";;
"actionBarItem/sonar_active";"Active sonar";"Sonar actif";"Sonar Attivo";"Aktives Sonar";"Sonar activo";"Активный сонар";"Sonar aktywny";"Aktivní sonar";"Aktif sonar";"主\t动\t声\t纳";"有効な\t音波探知機";"Sonar ativo";"Активний сонар";"Aktivni sonar";"Aktív szonár";"능동 소나";"Актыўны гідралакатар";"Sonar activ";"主\t動\t聲\t納";"主\t动\t声\t呐";"Sonar chủ động";;
"actionBarItem/torpedo_sensor";"Torpedo active sonar";"Sonar actif torpille";"Sonar Attivo del Siluro";"Aktives Sonar Torpedo";"Sonar activo del torpedo";"Активный сонар торпеды";"Aktywny sonar torpedy";"Aktivní sonar torpéda";"Aktif torpido sonarı";"鱼\t雷\t主\t动\t声\t纳";"魚雷の\t有効な\t音波探知機";"Sonar ativo do torpedo";"Активний сонар торпеди";"Torpedo active sonar";"Torpedó aktív szonár";"어뢰 능동 소나";"Актыўны гідралакатар тарпеды";"Sonar activ torpilă";"魚\t雷\t主\t動\t聲\t納";"主\t动\t鱼\t雷\t声\t呐";"Ngư lôi với sóng sonar chủ động";;
"actionBarItem/ship_current_trigger_group";"Selected weapon group";"Groupe d'armement sélectionné";"Gruppo di armi selezionate";"Waffengruppe wählen";"Grupo de armamento seleccionado";"Выбранная группа орудий";"Wybrana grupa uzbrojenia";"Vybraná skupina zbraní";"Seçili silah grubu";"已\t选\t武\t器\t分\t组";"選択された\t武器\tグループ";"Grupo de armas selecionado";"Вибрана зброя групи";"Selected weapon group";"Kiválasztott fegyvercsoport";"선택한 무장 종류";"Абраная група ўзбраення";"Grup de arme selectat";"已\t選\t武\t器\t分\t組";"已\t选\t武\t器\t组";"Nhóm vũ khí đã chọn";;
"actionBarItem/torpedo_sight";"Torpedo aiming";"Visée torpilles";"Puntamento Siluro";"Torpedo-Zielen";"Apuntado de torpedos";"Торпедный прицел";"Celowanie torpedą";"Míření torpéda";"Torpido nişanlama";"鱼\t雷\t瞄\t准";"魚雷照準";"Mira de torpedo";"Торпедний приціл";"Torpedo aiming";"Torpedócélzás";"어뢰 조준";"Тарпедны прыцэл";"Țintire torpilă";"魚\t雷\t瞄\t準";"鱼\t雷\t瞄\t准";"Nhắm bắn Torpedo";;
"actionBarItem/hull_aiming";"Hull aiming";"Ciblage châssis";"Mira con lo scafo";"Rumpf zielen";"Apuntado de chasis";"Наведение корпусом";"Celowanie kadłubem";"Míření trupem";"Gövde nişan alma";"车\t体\t瞄\t准";"車体照準";"Orientação do chassi";"Наведення корпусом";"Hull aiming";"Célzás a törzzsel";"차체 조준";"Навядзенне корпусам";"Hull aiming";"車\t體\t瞄\t準";"车\t体\t瞄\t准";"Ngắm bằng thân";;
"actionBarItem/speed_booster";"Speed booster";"Booster de vitesse";"Acceleratore";"Geschwindigkeits-Booster";"Potenciador de velocidad";"Форсаж";"Dopalacz";"Booster rychlosti";"Hız artırıcı";"加\t速";"速度\tブースター";"Booster de velocidade";"Форсаж";"Pojačivač brzine";"Sebességfokozó";"스피드 부스터";"Фарсаж";"Speed booster";"加\t速";"速\t度\t增\t压\t器";"Bộ tăng tốc độ";;
"actionBar/action/automatic";"Automatic action";"Action automatique";"Azione automatica";"Automatische Aktion";"Acción automática";"Автоматическое действие";"Automatycznie";"Automatická akce";"Otomatik top";"自\t动\t操\t作";"自動\tアクション";"Ação automática";"Автоматична дія";"Automatic action";"Automatikus művelet";"자동 액션";"Аўтаматычнае дзеянне";"Acțiune automată";"自\t動\t操\t作";"自\t动\t控\t制";"Tự hành";;
"actionBar/action/automatic/abbr";"A";"A";"A";"A";"A";"А";"A";"A";"A";"自";"A";"A";"A";"A";"A";"A";"А";"A";"A";"A";"A";"MAX 1 CHARACTER";
"actionBarItem/weapon_lead";"Missile leading mode: {mode}";"Mode de guidage du missile: {mode}";"Modalità puntamento missile: {mode}";"Modus der Raketenführung: {mode}";"Modo de guiado del misil: {mode}";"Режим спрямления траектории ракеты: {mode}";"Tryb naprowadzania pocisku: {mode}";"Režim navádění střely: {mode}";"Füze avans modu: {mode}";"导\t弹\t提\t前\t量\t引\t导\t模\t式：\t{mode}";"ミサイル\t誘導\tモード：\t{mode}";"Modo de direção de míssil: {mode}";"Режим спрямування траєкторії ракети: {mode}";"Missile leading mode: {mode}";"Rakéta vezérlés módja: {mode}";"미사일 유도 모드: {mode}";"Рэжым выраўноўвання траекторыі ракеты: {mode}";"Missile leading mode: {mode}";"導\t彈\t提\t前\t量\t引\t導\t模\t式：\t{mode}";"Missile leading mode: {mode}";"Chế độ dẫn đạn tên lửa: {mode}";;
"guidance_method/los";"LOS";"Ligne de mir";"LOS";"LOS";"LOS";"Трёхточечный режим";"LOS";"LOS";"LOS";"瞄\t准\t线";"LOS";"LOS";"Триточковий режим";"LOS";"Rálátás";"LOS";"Трохкропкавы рэжым";"LOS";"瞄\t準\t線";"LOS";"LOS";;
"guidance_method/lead";"Lead";"Indirect";"Guida";"Führung";"Guía";"Режим половинного спрямления";"Z poprawką";"Lead";"Avans";"提\t前\t量";"誘導";"Guia";"Режим половинного спрямування";"Lead";"Vezetés";"유도";"Рэжым палавіннага выраўноўвання";"Lead";"提\t前\t量";"Lead";"Dẫn";;
"guidance_method/auto";"Auto";"Auto";"Automatico";"Auto";"Automático";"Авто";"Automatyczne";"Auto";"Otomatik";"自\t动";"自動";"Automático";"Автоматично";"Auto";"Automatikus";"자동";"Аўта";"Auto";"自\t動";"Auto";"Tự động";;
"actionBarItem/ai_gunners";"Toggle gunner targets";"Changer les cibles du tireur";"Attiva/disattiva puntamento artiglieri";"Schützen-Ziele umschalten";"Alternar objetivos de artillero";"Переключение целей стрелков";"Przełącz cel strzelców";"Přepnout cíle střelců";"Nişancı hedeflerini değiştir";"切\t换\t自\t动\t攻\t击\t目\t标\t类\t型";"自動射撃目標切替";"Alternar alvos dos artilheiros";"Перемикання цілей стрільців";"Toggle gunner targets";"Lövészcélpontok váltása";"사수 목표 변경";"Пераключэнне цэлей стралкоў";"Toggle gunner targets";"切\t換\t自\t動\t攻\t擊\t目\t標\t類\t型";"切\t换\t机\t枪\t手\t视\t角";"Chuyển đổi mục tiêu của pháo thủ";;
"actionBarItem/stealth_activate";"Сamouflage system";"Système de camouflage";"Sistema di camuffamento";"Tarnanstrichsystem";"Sistema de camuflaje";"Система маскировки";"System kamuflażu";"Systém kamufláže";"Kamuflaj sistemi";"隐\t形\t伪\t装\t系\t统";"迷彩\tシステム";"Sistema de camuflagem";"Система маскування";"Сamouflage system";"Álcázó rendszer";"위장 시스템";"Сістэма маскіроўкі";"Сamouflage system";"隱\t形\t偽\t裝\t系\t統";"隐\t形\t伪\t装\t系\t统";"Hệ thống nguỵ trang";;
"actionBarItem/support_plane";"UAV Launch";"Lanceur UAV";"Lancio UAV";"Unbemanntes Luftfahrzeug starten";"Lanzar UAV";"Запуск БПЛА";"Wystrzel UAV";"Vypuštění UAV";"İHA Fırlatma";"发\t射\t无\t人\t机";"UAV\t発進";"Lançar drone";"Запуск БПЛА";"UAV Launch";"UAV kilövése";"UAV 발사";"Запуск БПЛА";"UAV Launch";"發\t射\t無\t人\t機";"发\t射\t无\t人\t机";"Phóng UAV";;
"actionBarItem/support_plane_ship";"Surveillance aircraft: catapult activation / launch";"Avion de reconnaissance: activer la catapulte / lancer";"Aereo da ricognizione: attivazione/lancio catapulta";"Aufklärungsflugzeug: Bordkatapult aktivieren / starten";"Avión de reconocimiento: Activar catapulta / lanzar";"Самолёт-разведчик: активация катапульты / запуск";"Samolot zwiadowczy: aktywacja katapulty / start";"Průzkumné letadlo: aktivace katapultu / vypuštění";"Gözlem uçağı: sapan etkinleştirme / fırlatma";"侦\t察\t机：\t激\t活\t弹\t射\t器\t／\t发\t射";"偵察機：\t射出機の\t起動 / 発艦";"Avião de reconhecimento: ativar catapulta / lançar";"Літак спостереження: активація катапульти / запуск";"Surveillance aircraft: catapult activation / launch";"Felderítő repülőgép: Katapult aktiválása/indítása";"정찰기 발진용 캐터펄트 작동 / 발진";"Самалёт-разведчык: актывацыя катапульты / запуск";"Surveillance aircraft: catapult activation / launch";"偵\t察\t機：\t啟\t動\t彈\t射\t器\t／\t發\t射";"侦\t察\t机：\t激\t活\t弹\t射\t器\t／\t发\t射";"Máy bay trinh sát: kích hoạt / phóng";;
"actionBarItem/switch_to_ship";"Switch to ship";"Retour au navire";"Passa alla nave";"Zum Schiff wechseln";"Cambiar a barco";"Переключиться на корабль";"Przełącz na okręt";"Přepnout na loď";"Gemiye geç";"切\t换\t至\t水\t面\t单\t位";"艦船に\t切り\t替える";"Mudar para o navio";"Перемкнутися на корабель";"Switch to ship";"Váltás hajóra";"함정으로 복귀";"Пераключыцца на карабель";"Switch to ship";"切\t換\t至\t船\t艦";"切\t换\t至\t水\t面\t单\t位";"Đổi qua tàu";;
